year,points,position,wins
1966,3,9,0
1967,3,9,0
1968,49,2,3
1969,38,4,1
1970,35,4,0
1971,10,6,0
1972,47,3,1
1973,58,3,3
1974,73,1,5
1975,53,3,1
1976,74,2,6
1977,60,3,3
1978,15,8,0
1979,15,7,0
1980,34,6,0
1981,28,6,1
1982,69,2,4
1983,34,5,1
1984,143,1,12
1985,90,1,6
1986,96,2,4
1987,76,2,3
1988,199,1,15
1989,141,1,10
1990,121,1,6
1991,139,1,8
1992,99,2,5
1993,84,2,5
1994,42,4,0
1995,30,4,0
1996,49,4,0
1997,63,4,0
1998,156,1,9
1999,124,2,7
2000,152,2,7
2001,102,3,2
2002,65,3,0
2003,142,2,4
2004,69,5,1
2005,182,2,10
2006,110,3,3
2007,0,11,8
2008,151,1,6
2009,71,3,2
2010,454,2,5
2011,497,2,6
2012,378,2,7
2013,122,5,0
2014,181,5,0
2015,27,9,0
2016,76,6,0
2017,30,9,0
2018,62,6,0
2019,145,4,0
2020,202,3,0
2021,275,4,1
2022,159,5,0
2023,302,4,2
2024,666,1,6
